연월,사망자수
2009-10,20944
2009-11,21072
2009-12,21687
2015-01,24760
2015-02,23209
2015-03,26493
2015-04,23610
2015-05,22935
2015-06,21345
2015-07,21534
2015-08,21496
2015-09,21375
2015-10,23050
2015-11,22678
2015-12,23410
2016-01,24708
2016-02,24601
2016-03,25208
2016-04,22830
2016-05,23125
2016-06,21350
2016-07,22053
2016-08,22604
2016-09,22081
2016-10,23610
2016-11,23333
2016-12,25324
2017-01,25902
2017-02,22884
2017-03,24230
2017-04,23142
2017-05,23766
2017-06,21986
2017-07,22245
2017-08,22846
2017-09,22622
2017-10,24624
2017-11,24404
2017-12,26883
2018-01,31550
2018-02,25001
2018-03,25252
2018-04,23963
2018-05,23996
2018-06,22596
2018-07,23886
2018-08,23937
2018-09,22906
2018-10,25010
2018-11,24200
2018-12,26523
2019-01,27366
2019-02,22918
2019-03,24985
2019-04,23833
2019-05,24756
2019-06,23056
2019-07,23216
2019-08,23707
2019-09,23570
2019-10,25569
2019-11,25412
2019-12,26722
2020-01,28430
2020-02,25423
2020-03,25850
2020-04,24674
2020-05,24346
2020-06,23638
2020-07,23989
2020-08,25289
2020-09,24352
2020-10,26488
2020-11,25603
2020-12,26866
2021-01,27223
2021-02,23787
2021-03,26559
2021-04,25071
2021-05,25567
2021-06,24381
2021-07,25732
2021-08,25918
2021-09,25662
2021-10,27750
2021-11,28366
2021-12,31664
2022-01,29842
2022-02,29293
2022-03,44616
2022-04,36681
2022-05,28902
2022-06,24910
2022-07,26073
2022-08,30040
2022-09,29233
2022-10,29790
2022-11,30156
2022-12,33403
2023-01,32658
2023-02,27350
2023-03,28944
2023-04,27539
2023-05,28876
2023-06,26794
2023-07,28141
2023-08,30523
2023-09,28293
2023-10,30793
2023-11,30364
2023-12,32236
